,Team Name,Team Members,Team Competitions,Team Event,Team Contingent,Team Final Position
43,BC,,Finals,Speed Skating Long Track - Team Pursuit Female,British Columbia,Bronze
44,BC,,"Beam - 1, Uneven Bars - 1, Beam - 2, Uneven Bars - 2, Beam - 3, Uneven Bars - 3, Floor - 1, Vault - 1, Floor - 2, Vault - 2, Floor - 3, Vault - 3",Gymnastics Artistic - Team Event Female,British Columbia,4
45,BC,,Finals,Speed Skating Long Track - Team Pursuit Male,British Columbia,7
46,BC,"Brae Booth, Klavdia Danilkov, Isabella Greene, Isabelle Harris, Kimiko Kamstra, Caleigh Takara Kuramoto, Dakota Florence Webb","Match 03, Gold Medal Match, Match 06",Judo Team Competition Female,British Columbia,Silver
47,BC,,Race,Biathlon 3 x 7.5 km Relay Male,British Columbia,Bronze
48,BC,,"Female Routine, Male Routine",Gymnastics Trampoline - Team Mix,British Columbia,Bronze
49,BC,"Kaitlyn Aylesworth, Zara Herbert, Hannah Kryworuchko, Mara Lambert-Wilson, Preet Lehal, Caitlyn Nichols, Sasha Nixon, Hannah McDonagh-Proud, Kendall Stirrat, Annie Wang","Technical Routine, Free Routine, Technical Routine, Free Routine",Artistic Swimming Team Female,British Columbia,4
50,BC,"Keegan Maddocks, Jake Chiasson, Cage Newans, Carson Nicholas Latimer, Trevor Wong, Steel Quiring, Matthew Seminoff, Logan H G Stankoven, Seiya Christopher Tanaka-Campbell, Kobe Verbicky, Nolan Bentham, Fin Williams, Élias Carmichael, Thomas Milic, Tyson Scerbo Galloway, Ty Gibson, Jack Hudson O'Brien, Graham Sward, Michael Abgrall, Caedan Bankier","Game 04, Game 22, Game 29, 7th - 8th Position Game, Game 10, Game 24, Game 35",Hockey Male,British Columbia,7
51,BC,"Dawson Ballard, Troy Chong, Joshua Miki, Hayato Sato","Draw 2 - Sheet 11, Draw 4 - Sheet 03, Draw 7 - Sheet 07, Draw 9 - Sheet 04, Draw 11 - Sheet 08, Semi Finals (W 4 vs. 5) - Sheet 08, Draw 3 - Sheet 05, Draw 6 - Sheet 09, Draw 8 - Sheet 02, Draw 10 - Sheet 10, Draw 12 - Sheet 06, Gold Medal Game - Sheet 11",Curling Male,British Columbia,Gold
52,BC,,"Relay Heat 51C, Relay Final 53A",Speed Skating Short Track - Team Relay Male,British Columbia,4
53,BC,"Kylie Cheng, Simon Cheng, Steven He, Antonio Li, Kingsley Lu, Kevin Luo, Katie Ngai, Jenna Wong, Natalie Kassandra Yee, Wendy Zhang","Tie 06, Tie 18 (D1 v. A2), Team Competition Bronze Medal Match, Tie 11, Tie 22 (W17 vs. W18)",Badminton Team Competition Mix,British Columbia,4
54,BC,,"Floor - A, P Bars - A, Rings - A, Floor - B, P Bars - B, Rings - B, H Bar - A, Pommel Horse - A, Vault - A, H Bar - B, Pommel Horse - B, Vault - B",Gymnastics Artistic - Team Event Male,British Columbia,5
55,BC,"Adam Deane, Adi Shapira","Total of Round 1 and Round 2, Round 2, Round 1, Elimination 002",Archery Recurve - Team Mix,British Columbia,6
56,BC,"Ben Hagkull, Ben Garrett, Nick van Bakel, Derek Jezewsky, Gabe Harrison, Joel Aukema, Megan Smith, Ryleigh Bissenden, Lannette Boland, Matt Norris, Tanner (TJ) Jung, Joel Ewert","Game 05, Game 12, Game 17 (3B vs. 3A), Game 09, Game 15, Game 22 (4A vs. 3B)",Wheelchair Basketball Mix,British Columbia,6
57,BC,"Lucia Bicknell, Cindy Cao, Sarah Cao, Quan Ng","Encounter 004, Encounter 016, Encounter 027, Gold Medal, Encounter 010, Encounter 021, Encounter 102",Squash Team Competition Female,British Columbia,Silver
58,BC,"Keelie Duncan, Chanelle Meeres, Gracelyn Susan Richards, Bryn Woloshyn","Draw 2 - Sheet 10, Draw 4 - Sheet 02, Draw 7 - Sheet 06, Draw 9 - Sheet 05, Draw 11 - Sheet 09, Draw 3 - Sheet 04, Draw 6 - Sheet 08, Draw 8 - Sheet 03, Draw 10 - Sheet 11, Draw 12 - Sheet 07",Curling Female,British Columbia,10
59,BC,"Amanda Nicole Mott, Emma Paradis, Hailey Takasaki, Katie Young, Katie Carter, Brooke Valancius, Ashley Robb, Abby Williamson, Courtney Kayla Bacon, Kailey Elizabeth Magrath, Sidney Aren-Lee Crowe, Aly Carter, Kristen Hunter, Kiana Rose Heska, Hannah Woodman, Brooklyn Keller, Alyssa Danielle Racine, Fiona Briner","Game 12, Game 08, Game 20 (2nd Pool A vs. 3rd Pool B), Bronze Medal Game (L22 vs. L23), Game 14, Game 04, Game 22 (W20 vs. W18)",Ringette Female,British Columbia,4
